TimeFrom,TimeTo,Speaker,Gap between speakers
84.11,84.55,1,0.53
84.95,85.21,1,0.53
85.21,85.37,1,0.53
85.37,85.83,1,0.53
85.87,86.31,1,0.53
87.57,88.03,1,0.53
88.03,88.11,1,0.53
88.11,88.31,1,0.53
88.31,88.44,1,0.53
88.44,88.57,1,0.53
88.57,88.84,1,0.53
88.94,89.18,1,0.53
89.21,89.85,1,0.53
90.29,90.63,1,0.53
91.12,91.29,0,0.49
91.29,91.67,0,0.49
91.67,91.78,0,0.49
91.78,91.98,0,0.49
91.98,92.31,0,0.49
92.31,92.83,0,0.49
93.55,93.72,1,0.72
94.32,94.58,0,0.6
94.58,95.02,0,0.6
95.02,95.15,0,0.6
95.15,95.5,0,0.6
95.63,96.02,0,0.6
96.65,96.83,0,0.6
96.83,97,0,0.6
97,97.25,0,0.6
97.25,97.31,0,0.6
97.31,97.54,0,0.6
97.54,97.64,0,0.6
97.64,97.73,0,0.6
97.73,97.88,0,0.6
97.88,98.03,0,0.6
98.03,98.25,0,0.6
98.25,98.62,0,0.6
98.62,98.73,0,0.6
98.73,98.84,0,0.6
98.84,99.05,0,0.6
99.05,99.37,0,0.6
99.37,100.03,0,0.6
100.18,100.39,1,0.15
100.39,100.67,1,0.15
100.67,101.09,1,0.15
101.93,102.09,0,0.84
102.09,102.31,0,0.84
102.31,102.52,0,0.84
102.52,102.85,0,0.84
104.73,105.45,0,0.84
105.5,105.64,0,0.84
105.64,106.08,0,0.84
106.08,106.54,0,0.84
106.54,106.76,0,0.84
106.76,106.96,0,0.84
106.96,107.21,0,0.84
107.21,107.36,0,0.84
107.36,107.54,0,0.84
107.54,107.66,0,0.84
107.66,107.88,0,0.84
107.88,108.13,0,0.84
108.13,108.61,0,0.84
108.61,108.73,0,0.84
108.73,109.1,0,0.84
109.1,109.36,0,0.84
109.36,109.73,0,0.84
109.73,110.11,0,0.84
110.14,110.41,1,0.03
110.84,110.98,0,0.43
110.98,111.12,0,0.43
111.12,111.55,0,0.43
111.55,111.8,0,0.43
111.8,112.45,0,0.43
114.1,114.44,0,0.43
114.44,114.6,0,0.43
114.6,114.71,0,0.43
114.71,114.83,0,0.43
114.83,114.92,0,0.43
114.92,115.04,0,0.43
115.04,115.32,0,0.43
115.32,115.42,0,0.43
115.42,115.57,0,0.43
115.57,115.83,0,0.43
115.83,115.93,0,0.43
115.93,116.14,0,0.43
116.14,116.28,0,0.43
116.28,116.47,0,0.43
116.47,116.85,0,0.43
116.88,117.2,0,0.43
117.2,117.27,0,0.43
117.27,117.36,0,0.43
117.36,117.85,0,0.43
117.85,118.08,0,0.43
118.08,118.22,0,0.43
118.22,118.44,0,0.43
118.44,118.57,0,0.43
118.57,118.61,0,0.43
118.61,118.96,0,0.43
118.96,119.09,0,0.43
119.09,119.2,0,0.43
119.2,119.45,0,0.43
119.45,119.56,0,0.43
119.56,119.82,0,0.43
119.82,120.02,0,0.43
120.02,120.1,0,0.43
120.1,120.22,0,0.43
120.22,120.89,0,0.43
122.54,122.9,1,1.65
123.35,123.53,0,0.45
123.53,123.73,0,0.45
123.73,124,0,0.45
124,124.08,0,0.45
124.08,124.19,0,0.45
124.19,124.73,0,0.45
124.94,125.24,1,0.21
125.24,125.54,1,0.21
125.54,125.67,1,0.21
125.67,126.12,1,0.21
127.21,127.39,1,0.21
127.39,127.46,1,0.21
127.46,127.78,1,0.21
128.66,128.78,0,0.88
128.78,128.87,0,0.88
128.87,128.98,0,0.88
128.98,129.13,0,0.88
129.13,129.49,0,0.88
129.49,129.98,0,0.88
130.05,130.35,0,0.88
130.35,130.7,0,0.88
130.7,130.88,0,0.88
130.88,131.04,0,0.88
131.04,131.43,0,0.88
131.6,131.72,0,0.88
131.72,131.79,0,0.88
131.79,132.21,0,0.88
132.21,132.31,0,0.88
132.31,132.72,0,0.88
134.43,134.54,0,0.88
134.54,134.78,0,0.88
134.78,134.99,0,0.88
134.99,135.27,0,0.88
135.27,135.79,0,0.88
135.79,135.9,0,0.88
135.9,136.21,0,0.88
136.67,136.97,0,0.88
136.97,137.38,0,0.88
137.51,138.01,0,0.88
138.01,138.13,0,0.88
138.13,138.38,0,0.88
138.38,138.97,0,0.88
138.97,139.4,0,0.88
139.91,140.22,0,0.88
140.22,140.62,0,0.88
140.65,140.86,0,0.88
140.86,141.11,0,0.88
141.11,141.39,0,0.88
141.39,141.61,0,0.88
141.61,141.94,0,0.88
142.05,142.17,0,0.88
142.17,142.27,0,0.88
142.27,142.8,0,0.88
142.93,143.22,1,0.13
144.27,144.37,1,0.13
144.37,144.63,1,0.13
144.63,145,1,0.13
145,145.28,1,0.13
145.28,145.47,1,0.13
145.47,145.65,1,0.13
145.85,146.15,1,0.13
146.15,146.36,1,0.13
146.48,147.14,1,0.13
147.14,147.57,1,0.13
147.57,147.77,1,0.13
147.77,148.08,1,0.13
148.11,148.35,1,0.13
149.36,149.63,1,0.13
149.63,149.79,1,0.13
149.79,149.96,1,0.13
149.96,150.29,1,0.13
150.29,150.51,1,0.13
150.51,150.84,1,0.13
150.84,151.04,1,0.13
151.04,151.22,1,0.13
151.22,151.58,1,0.13
151.69,151.95,0,0.11
151.98,152.52,1,0.03
153.36,153.69,0,0.84
153.69,154.06,0,0.84
154.06,154.17,0,0.84
154.17,154.34,0,0.84
154.34,154.45,0,0.84
154.45,154.74,0,0.84
155.7,156.16,1,0.96
156.19,156.66,1,0.96
158.34,158.48,0,1.68
158.48,158.63,0,1.68
158.63,158.99,0,1.68
158.99,159.26,0,1.68
159.26,159.72,0,1.68
159.72,159.86,0,1.68
159.86,160.01,0,1.68
160.01,160.45,0,1.68
160.45,160.93,0,1.68
160.93,161.06,0,1.68
161.06,161.58,0,1.68
161.58,161.73,0,1.68
161.73,162.05,0,1.68
162.05,162.16,0,1.68
162.16,162.22,0,1.68
162.22,162.74,0,1.68
163.18,163.33,0,1.68
163.33,163.44,0,1.68
163.44,163.66,0,1.68
163.66,163.78,0,1.68
163.78,164.08,0,1.68
164.08,164.2,0,1.68
164.2,164.31,0,1.68
164.31,164.86,0,1.68
165.29,165.43,0,1.68
165.43,165.57,0,1.68
165.57,165.74,0,1.68
165.74,166.05,0,1.68
166.05,166.15,0,1.68
166.15,166.22,0,1.68
166.22,166.51,0,1.68
166.51,166.57,0,1.68
166.57,166.79,0,1.68
166.79,167.02,0,1.68
167.02,167.55,0,1.68
168.68,168.82,1,1.13
168.82,169.03,1,1.13
169.03,169.17,1,1.13
169.17,169.24,1,1.13
169.24,169.47,1,1.13
169.47,169.67,1,1.13
169.67,170.06,1,1.13
170.06,170.31,1,1.13
170.31,170.43,1,1.13
170.43,170.74,1,1.13
172.3,172.47,0,1.56
172.47,172.57,0,1.56
172.57,172.73,0,1.56
172.73,172.85,0,1.56
172.85,173.11,0,1.56
173.11,173.51,0,1.56
173.51,173.71,0,1.56
173.71,173.81,0,1.56
173.81,173.99,0,1.56
173.99,174.13,0,1.56
174.13,174.2,0,1.56
174.2,174.41,0,1.56
174.41,174.59,0,1.56
174.59,175.07,0,1.56
175.43,175.69,1,0.36
175.69,175.89,1,0.36
175.92,176.69,1,0.36
176.69,177.04,1,0.36
177.04,177.32,1,0.36
178.17,178.45,1,0.36
179.14,179.33,0,0.69
179.33,179.64,0,0.69
179.64,179.97,0,0.69
179.97,180.18,0,0.69
180.18,180.43,0,0.69
181.52,181.62,0,0.69
181.62,181.73,0,0.69
181.73,182.29,0,0.69
182.29,182.38,0,0.69
182.38,182.47,0,0.69
182.47,182.89,0,0.69
184.7,184.84,0,0.69
184.84,184.94,0,0.69
184.94,185.13,0,0.69
185.13,185.26,0,0.69
185.26,185.33,0,0.69
185.33,185.51,0,0.69
185.51,185.65,0,0.69
185.65,185.82,0,0.69
185.82,186.07,0,0.69
186.07,186.27,0,0.69
186.27,186.49,0,0.69
187.86,188.19,0,0.69
188.64,188.96,1,0.45
189.01,189.53,1,0.45
189.53,189.82,1,0.45
189.85,190.35,0,0.03
190.55,190.82,1,0.2
190.85,191.07,1,0.2
191.07,191.45,1,0.2
191.45,191.51,1,0.2
191.51,191.83,1,0.2
191.97,192.54,1,0.2
192.77,192.9,1,0.2
192.9,193.13,1,0.2
193.36,193.56,1,0.2
193.56,193.9,1,0.2
193.9,194.11,1,0.2
194.11,194.21,1,0.2
195.05,195.35,1,0.2
196.21,196.59,1,0.2
196.64,196.91,1,0.2
197.03,197.25,1,0.2
197.25,197.77,1,0.2
200.05,200.3,0,2.28
200.3,200.47,0,2.28
200.47,200.6,0,2.28
200.6,200.84,0,2.28
200.84,201.09,0,2.28
201.09,201.24,0,2.28
201.24,201.69,0,2.28
201.69,202.06,0,2.28
202.06,202.3,0,2.28
202.3,202.47,0,2.28
202.47,202.95,0,2.28
202.95,203.06,0,2.28
203.06,203.26,0,2.28
203.26,203.4,0,2.28
203.4,203.87,0,2.28
203.87,203.98,0,2.28
203.98,204.28,0,2.28
204.28,204.46,0,2.28
204.46,204.6,0,2.28
204.6,205.08,0,2.28
205.49,206.17,1,0.41
206.55,207.06,1,0.41
207.06,207.57,1,0.41
207.86,208.49,0,0.29
208.52,208.69,0,0.29
208.69,208.82,0,0.29
208.82,209.01,0,0.29
209.01,209.15,0,0.29
209.15,209.39,0,0.29
209.39,209.64,0,0.29
209.64,209.85,0,0.29
209.85,210.25,0,0.29
211.09,211.33,1,0.84
211.33,211.65,1,0.84
212.22,212.41,1,0.84
